Date,Open,High,Low,Close,Adj Close,Volume
12-01-2011,185.360001,185.380005,183.300003,184.080002,184.080002,2679100
13-01-2011,183.600006,186.449997,183.509995,185.529999,185.529999,3367000
14-01-2011,185.5,188.940002,184.919998,188.75,188.75,3662800
18-01-2011,188.660004,191.600006,188.25,191.25,191.25,3896200
19-01-2011,190.899994,191,186.210007,186.869995,186.869995,3882400
20-01-2011,185.289993,186.850006,181,181.960007,181.960007,5709900
21-01-2011,183,183.25,176.839996,177.419998,177.419998,6806200
24-01-2011,177.949997,178.490005,174.149994,176.850006,176.850006,5600300
25-01-2011,175.5,176.75,174.279999,176.699997,176.699997,4651000
26-01-2011,177.509995,177.889999,174.630005,175.389999,175.389999,3762200
27-01-2011,177.479996,185,177.309998,184.449997,184.449997,14594400
28-01-2011,171.449997,173.710007,166.899994,171.139999,171.139999,19908200
31-01-2011,170.160004,171.440002,167.410004,169.639999,169.639999,6718100
01-02-2011,170.520004,173.100006,169.509995,172.110001,172.110001,5085900
02-02-2011,171.419998,175.199997,170.869995,173.529999,173.529999,4547500
03-02-2011,173.5,174.669998,171.949997,173.710007,173.710007,3678900
04-02-2011,174,177.190002,173.75,175.929993,175.929993,4347800
07-02-2011,176.149994,177.550003,174.770004,176.429993,176.429993,5254700
08-02-2011,176.660004,183.110001,176.589996,183.059998,183.059998,7794900
09-02-2011,183.149994,186.470001,182.259995,185.300003,185.300003,8312700
10-02-2011,184.389999,187.240005,183.600006,186.210007,186.210007,5331400
11-02-2011,185.559998,189.5,185.369995,189.25,189.25,4487900
14-02-2011,189.25,191.399994,188.350006,190.419998,190.419998,4061300
15-02-2011,188.729996,190.490005,188.25,189.029999,189.029999,3890900
16-02-2011,189.770004,190,186.350006,186.619995,186.619995,4628200
17-02-2011,185.770004,189.089996,185.309998,187.759995,187.759995,3425500
18-02-2011,187.539993,188.5,185.130005,186.5,186.5,4178600
22-02-2011,183.679993,184.720001,179.320007,180.419998,180.419998,5637100
23-02-2011,180.25,181.149994,174.389999,176.679993,176.679993,5482000
24-02-2011,176.860001,179.75,174.559998,177.75,177.75,4656500
25-02-2011,178.949997,180.75,177.100006,177.240005,177.240005,4191400
28-02-2011,173.910004,175.889999,172.149994,173.289993,173.289993,6783200
01-03-2011,173.529999,173.960007,168.669998,169.440002,169.440002,5847100
02-03-2011,169.089996,173.300003,168.350006,172.020004,172.020004,5185700
03-03-2011,173.710007,174.460007,172.050003,172.789993,172.789993,4138200
04-03-2011,172.619995,172.75,169.509995,171.669998,171.669998,4924300
07-03-2011,171.919998,172.089996,166.240005,169.080002,169.080002,5932900
08-03-2011,169.389999,169.710007,166.720001,166.889999,166.889999,4219000
09-03-2011,166.669998,169.75,163.899994,169.050003,169.050003,7108900
10-03-2011,167.070007,168.470001,164.820007,166.139999,166.139999,5998400
11-03-2011,165.5,169.199997,164.119995,168.070007,168.070007,4609900
